statement,true,animals,cities,companies,elements,facts,generated,inventions,split
"Human uses for shark include research, conservation.",0,1,0,0,0,0,0,0,calibration
"The camel has humps that store fat, which can be metabolized for energy and water during long treks.",1,1,0,0,0,0,0,0,calibration
The squirrel has a habitat of forest/urban.,1,1,0,0,0,0,0,0,train
The bee has the atomic number of bird.,0,1,0,0,0,0,0,0,calibration
The llama has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0,1,0,0,0,0,0,0,train
The tuna uses walking for locomotion.,0,1,0,0,0,0,0,0,train
"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0,1,0,0,0,0,0,0,train
The rat has a diet of omnivore.,1,1,0,0,0,0,0,0,train
The raccoon has a habitat of urban/old-world habitats.,0,1,0,0,0,0,0,0,train
The sparrow has a diet of omnivore.,1,1,0,0,0,0,0,0,calibration
The leopard uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The gorilla is a mammal.,1,1,0,0,0,0,0,0,train
The platypus has a diet of  carnivore.,0,1,0,0,0,0,0,0,train
The tapir uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The tuna has a diet of insectivore.,0,1,0,0,0,0,0,0,calibration
The wolverine has a habitat of arctic/subarctic.,1,1,0,0,0,0,0,0,train
The manta ray uses walking for locomotion.,0,1,0,0,0,0,0,0,calibration
The raccoon uses walking for locomotion.,1,1,0,0,0,0,0,0,test
"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,1,0,0,0,0,0,0,train
The frog has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The crocodile has a powerful bite and can go without food for long periods of time.,1,1,0,0,0,0,0,0,calibration
The zebra has a habitat of farmland.,0,1,0,0,0,0,0,0,test
The skunk has a diet of omnivore.,1,1,0,0,0,0,0,0,test
The ostrich uses walking for locomotion.,0,1,0,0,0,0,0,0,test
The seahorse uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,1,0,0,0,0,0,0,train
There are no specific human uses for gazelle.,1,1,0,0,0,0,0,0,train
The cheetah is a mammal.,1,1,0,0,0,0,0,0,calibration
The tiger has distinctive orange and black stripes and is an apex predator.,1,1,0,0,0,0,0,0,test
The tuna uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The seagull has webbed feet for swimming and can drink both fresh and saltwater.,1,1,0,0,0,0,0,0,train
The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,1,0,0,0,0,0,0,train
The zebra is a mammal.,1,1,0,0,0,0,0,0,train
The giraffe has a habitat of farmland.,0,1,0,0,0,0,0,0,test
The elephant has a habitat of terrestrial.,1,1,0,0,0,0,0,0,test
The hummingbird uses flying for locomotion.,1,1,0,0,0,0,0,0,calibration
"Human uses for gazelle include pets, research, conservation.",0,1,0,0,0,0,0,0,train
The walrus uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
"The tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",1,1,0,0,0,0,0,0,test
"Human uses for crocodile include conservation, research.",0,1,0,0,0,0,0,0,test
The peacock has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The tapir is a mammal.,1,1,0,0,0,0,0,0,test
"Human uses for parrot include pets, research, conservation.",1,1,0,0,0,0,0,0,train
"The beaver has antlers that are shed and regrown annually, and is a good swimmer.",0,1,0,0,0,0,0,0,train
The zebra uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The rabbit is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for parrot include tourism, zoos.",0,1,0,0,0,0,0,0,train
The ostrich is the largest and fastest-running bird and has two-toed feet.,1,1,0,0,0,0,0,0,train
The bat has a diet of varies.,1,1,0,0,0,0,0,0,test
"Human uses for platypus include research, conservation.",1,1,0,0,0,0,0,0,train
The bison is the heaviest land animal in north america and forms large herds for protection.,1,1,0,0,0,0,0,0,train
The alpaca has a diet of herbivore.,1,1,0,0,0,0,0,0,calibration
The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,1,0,0,0,0,0,0,train
There are no specific human uses for aardvark.,1,1,0,0,0,0,0,0,train
The hummingbird has a diet of omnivore.,0,1,0,0,0,0,0,0,test
"Human uses for lobster include food, research.",1,1,0,0,0,0,0,0,train
The camel has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The zebra has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The beaver has a habitat of freshwater.,1,1,0,0,0,0,0,0,train
The elephant has a diet of carnivore.,0,1,0,0,0,0,0,0,calibration
The gorilla has a habitat of forest.,1,1,0,0,0,0,0,0,calibration
The seagull has a habitat of grassland.,0,1,0,0,0,0,0,0,test
The horse uses walking for locomotion.,1,1,0,0,0,0,0,0,calibration
The crocodile has a habitat of various.,0,1,0,0,0,0,0,0,calibration
The elephant has distinctive orange and black stripes and is an apex predator.,0,1,0,0,0,0,0,0,train
The panda has a diet of carnivore.,0,1,0,0,0,0,0,0,calibration
The dog has a diet of carnivore.,0,1,0,0,0,0,0,0,train
The sea turtle is a reptile.,1,1,0,0,0,0,0,0,calibration
"The cow is the largest animal on earth, with some species using baleen plates to filter food from water.",0,1,0,0,0,0,0,0,calibration
The cheetah has a diet of varies.,0,1,0,0,0,0,0,0,train
The tuna has a habitat of marine.,1,1,0,0,0,0,0,0,train
The dog uses walking for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for vulture.,1,1,0,0,0,0,0,0,train
The platypus has the atomic number of bird.,0,1,0,0,0,0,0,0,calibration
"Human uses for camel include transportation, meat, milk, wool.",1,1,0,0,0,0,0,0,calibration
"Human uses for manta ray include pets, meat, fur.",0,1,0,0,0,0,0,0,train
The goldfish has a habitat of farmland/domestic.,0,1,0,0,0,0,0,0,train
The chimpanzee uses walking for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for snake.,0,1,0,0,0,0,0,0,train
The pigeon has a habitat of urban/old-world habitats.,1,1,0,0,0,0,0,0,train
The goldfish uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
"The bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,1,0,0,0,0,0,0,calibration
"Human uses for goat include pets, research, pest control.",0,1,0,0,0,0,0,0,train
The sea turtle has a habitat of polar.,0,1,0,0,0,0,0,0,train
"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0,1,0,0,0,0,0,0,test
The manta ray has a diet of carnivore.,1,1,0,0,0,0,0,0,train
There are no specific human uses for crocodile.,1,1,0,0,0,0,0,0,calibration
The bee uses flying for locomotion.,1,1,0,0,0,0,0,0,calibration
The armadillo has a habitat of various.,1,1,0,0,0,0,0,0,train
The ostrich has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The narwhal uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The bee has a diet of nectar.,1,1,0,0,0,0,0,0,train
Human uses for chicken include food.,0,1,0,0,0,0,0,0,train
The moose has the atomic number of bird.,0,1,0,0,0,0,0,0,test
"Human uses for alpaca include wool, meat, pets.",1,1,0,0,0,0,0,0,train
The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,1,1,0,0,0,0,0,0,train
The kangaroo has the atomic number of crustacean.,0,1,0,0,0,0,0,0,train
"Human uses for llama include pets, transport, wool.",1,1,0,0,0,0,0,0,calibration
The parrot uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The cow has a diet of  carnivore.,0,1,0,0,0,0,0,0,train
The camel has the atomic number of amphibian.,0,1,0,0,0,0,0,0,train
"Human uses for tuna include tourism, research.",0,1,0,0,0,0,0,0,calibration
The cow has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The slug has a diet of carnivore.,0,1,0,0,0,0,0,0,test
"Human uses for panda include conservation, research, zoos.",1,1,0,0,0,0,0,0,test
The seahorse has a habitat of mountain.,0,1,0,0,0,0,0,0,train
The lion is a mammal.,1,1,0,0,0,0,0,0,test
The gorilla uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The deer is a mammal.,1,1,0,0,0,0,0,0,test
The horse has a diet of omnivore.,0,1,0,0,0,0,0,0,test
The swan is the largest primate and exhibits complex social behavior.,0,1,0,0,0,0,0,0,train
"Human uses for axolotl include pets, research, conservation.",1,1,0,0,0,0,0,0,train
The swan uses swimming/flying for locomotion.,1,1,0,0,0,0,0,0,calibration
The octopus has a habitat of marine.,1,1,0,0,0,0,0,0,train
"The llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,1,0,0,0,0,0,0,train
The penguin is a bird.,1,1,0,0,0,0,0,0,train
The cassowary uses running for locomotion.,1,1,0,0,0,0,0,0,train
"The deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",0,1,0,0,0,0,0,0,test
The seahorse is a fish.,1,1,0,0,0,0,0,0,train
"Human uses for giraffe include tourism, zoos.",1,1,0,0,0,0,0,0,train
The mongoose has a habitat of various.,1,1,0,0,0,0,0,0,train
The tarantula uses running for locomotion.,0,1,0,0,0,0,0,0,test
The hyena has a habitat of freshwater.,0,1,0,0,0,0,0,0,train
The eagle uses swimming for locomotion.,0,1,0,0,0,0,0,0,test
The chimpanzee has a strong sense of smell and is known for its loyalty to humans.,0,1,0,0,0,0,0,0,train
"Human uses for hippopotamus include conservation, research.",0,1,0,0,0,0,0,0,calibration
The slug has a habitat of savanna.,0,1,0,0,0,0,0,0,train
The bat has a habitat of grassland.,0,1,0,0,0,0,0,0,train
The tiger has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The polar bear uses walking for locomotion.,0,1,0,0,0,0,0,0,calibration
The porcupine uses walking for locomotion.,1,1,0,0,0,0,0,0,calibration
The chicken is a bird.,1,1,0,0,0,0,0,0,train
The hamster has a habitat of desert.,1,1,0,0,0,0,0,0,test
There are no specific human uses for gecko.,1,1,0,0,0,0,0,0,calibration
The hyena uses flying for locomotion.,0,1,0,0,0,0,0,0,train
The tuna is the heaviest land animal in north america and forms large herds for protection.,0,1,0,0,0,0,0,0,train
The parrot has a habitat of forest.,1,1,0,0,0,0,0,0,train
"The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,1,0,0,0,0,0,0,train
"Human uses for hedgehog include conservation, research.",0,1,0,0,0,0,0,0,calibration
The seagull uses flying for locomotion.,1,1,0,0,0,0,0,0,calibration
The pigeon has a diet of omnivore.,0,1,0,0,0,0,0,0,test
There are no specific human uses for koala.,0,1,0,0,0,0,0,0,train
Human uses for polar bear include food.,0,1,0,0,0,0,0,0,train
The mongoose has the atomic number of bird.,0,1,0,0,0,0,0,0,test
"Human uses for otter include tourism, research.",0,1,0,0,0,0,0,0,calibration
The cassowary is a bird.,1,1,0,0,0,0,0,0,calibration
There are no specific human uses for raccoon.,1,1,0,0,0,0,0,0,test
The gazelle has a diet of herbivore.,1,1,0,0,0,0,0,0,test
The swan has a habitat of polar.,0,1,0,0,0,0,0,0,train
The cheetah has a habitat of grassland.,1,1,0,0,0,0,0,0,train
The whale has a diet of herbivore.,0,1,0,0,0,0,0,0,calibration
The goat has the atomic number of bird.,0,1,0,0,0,0,0,0,test
The aardvark has a diet of omnivore.,0,1,0,0,0,0,0,0,train
The tuna has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
"The elephant has a long trunk used for grasping, eating, drinking, and communication.",1,1,0,0,0,0,0,0,test
"The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,1,0,0,0,0,0,0,train
The horse has a habitat of polar.,0,1,0,0,0,0,0,0,train
The elephant has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The koala uses swimming for locomotion.,0,1,0,0,0,0,0,0,test
The koala has a habitat of forest.,1,1,0,0,0,0,0,0,test
The flamingo uses wading for locomotion.,1,1,0,0,0,0,0,0,train
The axolotl has a habitat of coastal.,0,1,0,0,0,0,0,0,test
The vulture has a habitat of various.,1,1,0,0,0,0,0,0,train
The seahorse has a diet of carnivore.,1,1,0,0,0,0,0,0,train
"Human uses for horse include transportation, racing, therapy, work.",1,1,0,0,0,0,0,0,test
The swan is a bird.,1,1,0,0,0,0,0,0,test
The shark uses swimming for locomotion.,1,1,0,0,0,0,0,0,calibration
The tapir has a habitat of forest.,1,1,0,0,0,0,0,0,test
The peacock is a bird.,1,1,0,0,0,0,0,0,train
The rabbit has a habitat of freshwater.,0,1,0,0,0,0,0,0,train
The porcupine has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"Human uses for goldfish include work, tourism, conservation.",0,1,0,0,0,0,0,0,train
The walrus has the atomic number of mollusk.,0,1,0,0,0,0,0,0,train
The sea turtle uses swimming for locomotion.,1,1,0,0,0,0,0,0,calibration
The hummingbird has a habitat of grassland.,0,1,0,0,0,0,0,0,train
There are no specific human uses for wolverine.,1,1,0,0,0,0,0,0,calibration
The seagull is a bird.,1,1,0,0,0,0,0,0,test
The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.,1,1,0,0,0,0,0,0,test
There are no specific human uses for elephant.,0,1,0,0,0,0,0,0,train
The flamingo has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The cow is a mammal.,1,1,0,0,0,0,0,0,train
The flamingo is a bird.,1,1,0,0,0,0,0,0,train
"Human uses for cat include research, conservation.",0,1,0,0,0,0,0,0,test
The dolphin has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The sparrow has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
The otter has a diet of herbivore.,0,1,0,0,0,0,0,0,test
"Human uses for hummingbird include transportation, meat, milk, wool.",0,1,0,0,0,0,0,0,train
"The gecko has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0,1,0,0,0,0,0,0,calibration
The panda has the atomic number of bird.,0,1,0,0,0,0,0,0,calibration
Human uses for salmon include food.,1,1,0,0,0,0,0,0,calibration
The kangaroo has a diet of carnivore.,0,1,0,0,0,0,0,0,train
The shark has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The snake uses walking for locomotion.,0,1,0,0,0,0,0,0,calibration
The tortoise has a habitat of marine.,0,1,0,0,0,0,0,0,train
The lion is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,1,1,0,0,0,0,0,0,calibration
The goldfish uses swimming for locomotion.,1,1,0,0,0,0,0,0,calibration
The platypus uses walking for locomotion.,0,1,0,0,0,0,0,0,calibration
The polar bear is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for tapir include tourism, zoos, meat, feathers.",0,1,0,0,0,0,0,0,train
The parrot has a diet of carnivore.,0,1,0,0,0,0,0,0,calibration
The chimpanzee uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
The cow uses flying for locomotion.,0,1,0,0,0,0,0,0,train
The aardvark is a mammal.,1,1,0,0,0,0,0,0,train
The gecko has adhesive pads on its toes for climbing and some species can regenerate lost tails.,1,1,0,0,0,0,0,0,calibration
"Human uses for penguin include tourism, research.",1,1,0,0,0,0,0,0,test
The tortoise has a habitat of terrestrial.,1,1,0,0,0,0,0,0,train
"Human uses for sea turtle include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The slug has the atomic number of mammal.,0,1,0,0,0,0,0,0,test
The goat has a diet of omnivore.,0,1,0,0,0,0,0,0,calibration
The alpaca has a habitat of various.,0,1,0,0,0,0,0,0,train
The alpaca has a habitat of mountain.,1,1,0,0,0,0,0,0,train
The armadillo uses swimming for locomotion.,0,1,0,0,0,0,0,0,calibration
The raccoon has thick wool for insulation and can spit when threatened or annoyed.,0,1,0,0,0,0,0,0,test
The skunk uses walking for locomotion.,1,1,0,0,0,0,0,0,test
The lobster uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,test
The cassowary has a diet of carnivore.,0,1,0,0,0,0,0,0,train
"Human uses for walrus include research, conservation.",1,1,0,0,0,0,0,0,train
The polar bear uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,calibration
"Human uses for cassowary include conservation, research, zoos.",1,1,0,0,0,0,0,0,calibration
"Human uses for eagle include conservation, research.",1,1,0,0,0,0,0,0,calibration
The horse has the atomic number of mollusk.,0,1,0,0,0,0,0,0,calibration
The lion has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The crocodile uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,train
"The porcupine has sharp quills for protection, which can be raised when threatened, and some species can climb trees.",1,1,0,0,0,0,0,0,test
The salmon migrates from freshwater to saltwater habitats during its life cycle.,1,1,0,0,0,0,0,0,test
The elephant uses walking for locomotion.,1,1,0,0,0,0,0,0,test
The shark uses wading for locomotion.,0,1,0,0,0,0,0,0,test
The tapir has a habitat of desert.,0,1,0,0,0,0,0,0,calibration
The kangaroo uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The tarantula uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The penguin is flightless and has adapted flippers for swimming.,1,1,0,0,0,0,0,0,train
The hippopotamus uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The rabbit has the atomic number of bird.,0,1,0,0,0,0,0,0,train
The seahorse has a habitat of marine.,1,1,0,0,0,0,0,0,train
There are no specific human uses for moose.,1,1,0,0,0,0,0,0,train
"Human uses for lion include conservation, research, zoos.",1,1,0,0,0,0,0,0,train
The horse uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
"The dolphin has a hard, bony armor for protection and can curl into a ball to defend itself.",0,1,0,0,0,0,0,0,train
The sparrow has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The cheetah has a habitat of marine.,0,1,0,0,0,0,0,0,calibration
"Human uses for slug include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The tarantula is a arachnid.,1,1,0,0,0,0,0,0,train
The skunk has a habitat of various.,1,1,0,0,0,0,0,0,train
The chicken has a diet of herbivore.,0,1,0,0,0,0,0,0,test
The rat has the atomic number of bird.,0,1,0,0,0,0,0,0,train
The sparrow has a habitat of various.,0,1,0,0,0,0,0,0,test
"Human uses for sea turtle include research, conservation.",1,1,0,0,0,0,0,0,train
The gecko has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The cow has a habitat of forest/urban.,0,1,0,0,0,0,0,0,train
The slug is a mollusk.,1,1,0,0,0,0,0,0,train
The manta ray has a diet of omnivore.,0,1,0,0,0,0,0,0,test
"The narwhal has a hard, bony armor for protection and can curl into a ball to defend itself.",0,1,0,0,0,0,0,0,test
The walrus has a habitat of polar.,1,1,0,0,0,0,0,0,calibration
The rat uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The hippopotamus has the atomic number of reptile.,0,1,0,0,0,0,0,0,train
"Human uses for squirrel include research, conservation.",0,1,0,0,0,0,0,0,test
The porcupine is a mammal.,1,1,0,0,0,0,0,0,train
"The chicken is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0,1,0,0,0,0,0,0,train
The sea turtle has the atomic number of fish.,0,1,0,0,0,0,0,0,train
"The hedgehog has a coat of sharp spines for protection, which it raises when threatened.",1,1,0,0,0,0,0,0,train
"The kangaroo has antlers that are shed and regrown annually, and is a good swimmer.",0,1,0,0,0,0,0,0,calibration
The hyena has strong jaws and teeth for crushing bones and a complex social structure with a female-dominated hierarchy.,1,1,0,0,0,0,0,0,calibration
The manta ray has the atomic number of mammal.,0,1,0,0,0,0,0,0,test
"The giant anteater primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,1,0,0,0,0,0,0,train
The parrot is a bird.,1,1,0,0,0,0,0,0,train
The crocodile is flightless and has adapted flippers for swimming.,0,1,0,0,0,0,0,0,train
The hyena uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The chicken has a habitat of farmland/urban.,1,1,0,0,0,0,0,0,train
The hippopotamus uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,test
The frog has a diet of omnivore.,0,1,0,0,0,0,0,0,test
The sparrow uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
The crocodile has a diet of carnivore.,0,1,0,0,0,0,0,0,calibration
"Human uses for goldfish include pets, ornamental ponds.",1,1,0,0,0,0,0,0,test
"Human uses for sparrow include conservation, meat, leather.",0,1,0,0,0,0,0,0,train
The chicken uses swimming for locomotion.,0,1,0,0,0,0,0,0,test
The shark has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The camel has a diet of varies.,0,1,0,0,0,0,0,0,train
The swan has a habitat of freshwater.,1,1,0,0,0,0,0,0,train
The gazelle uses flying for locomotion.,0,1,0,0,0,0,0,0,test
There are no specific human uses for deer.,1,1,0,0,0,0,0,0,train
The hippopotamus has a habitat of domestic/urban.,0,1,0,0,0,0,0,0,train
"Human uses for dolphin include research, entertainment, therapy.",1,1,0,0,0,0,0,0,train
The snake has a habitat of forest/grassland.,0,1,0,0,0,0,0,0,train
The hummingbird has a habitat of various.,1,1,0,0,0,0,0,0,calibration
The tapir uses swimming for locomotion.,0,1,0,0,0,0,0,0,test
The pigeon uses walking/swimming for locomotion.,0,1,0,0,0,0,0,0,train
The sparrow uses flying for locomotion.,1,1,0,0,0,0,0,0,train
The salmon has a habitat of freshwater/marine.,1,1,0,0,0,0,0,0,train
The walrus has a diet of insectivore.,0,1,0,0,0,0,0,0,train
The aardvark has a habitat of urban/wild.,0,1,0,0,0,0,0,0,train
"The cat is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,1,0,0,0,0,0,0,train
There are no specific human uses for camel.,0,1,0,0,0,0,0,0,train
"The seagull has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment.",0,1,0,0,0,0,0,0,test
The ostrich has a diet of omnivore.,0,1,0,0,0,0,0,0,test
The whale uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The penguin uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,train
The penguin has a diet of herbivore.,0,1,0,0,0,0,0,0,test
The parrot has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
The goat has strong jaws and teeth for crushing bones and a complex social structure with a female-dominated hierarchy.,0,1,0,0,0,0,0,0,calibration
The deer has the atomic number of bird.,0,1,0,0,0,0,0,0,test
The mongoose uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The hedgehog has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The bison has a diet of carnivore.,0,1,0,0,0,0,0,0,test
The lion has a habitat of domestic/urban.,0,1,0,0,0,0,0,0,train
The cow has the atomic number of bird.,0,1,0,0,0,0,0,0,train
There are no specific human uses for porcupine.,1,1,0,0,0,0,0,0,calibration
"The lobster has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0,1,0,0,0,0,0,0,train
The seagull has a habitat of coastal.,1,1,0,0,0,0,0,0,train
"The deer has antlers that are shed and regrown annually, and is a good swimmer.",1,1,0,0,0,0,0,0,test
The aardvark has a habitat of savanna.,1,1,0,0,0,0,0,0,train
The whale has a diet of carnivore/herbivore.,1,1,0,0,0,0,0,0,train
The camel has a habitat of domestic/urban.,0,1,0,0,0,0,0,0,calibration
"Human uses for hamster include tourism, zoos.",0,1,0,0,0,0,0,0,train
The salmon has the atomic number of reptile.,0,1,0,0,0,0,0,0,calibration
The cassowary has a habitat of forest.,1,1,0,0,0,0,0,0,calibration
The jellyfish has a habitat of marine.,1,1,0,0,0,0,0,0,train
There are no specific human uses for hyena.,1,1,0,0,0,0,0,0,train
The sea turtle uses walking for locomotion.,0,1,0,0,0,0,0,0,train
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1,1,0,0,0,0,0,0,train
The tuna has a habitat of urban/wild.,0,1,0,0,0,0,0,0,train
The chimpanzee has the atomic number of fish.,0,1,0,0,0,0,0,0,test
"The sparrow has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0,1,0,0,0,0,0,0,train
The skunk is a mammal.,1,1,0,0,0,0,0,0,train
The axolotl has the atomic number of reptile.,0,1,0,0,0,0,0,0,calibration
