statement,true,animals,cities,companies,elements,facts,generated,inventions,split
The hamster has a powerful bite and can go without food for long periods of time.,0,1,0,0,0,0,0,0,train
The squirrel has a habitat of forest/urban.,1,1,0,0,0,0,0,0,train
The llama has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0,1,0,0,0,0,0,0,train
The tuna uses walking for locomotion.,0,1,0,0,0,0,0,0,train
"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0,1,0,0,0,0,0,0,train
The rat has a diet of omnivore.,1,1,0,0,0,0,0,0,train
The raccoon has a habitat of urban/old-world habitats.,0,1,0,0,0,0,0,0,train
The leopard uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The gorilla is a mammal.,1,1,0,0,0,0,0,0,train
The platypus has a diet of  carnivore.,0,1,0,0,0,0,0,0,train
The tapir uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The wolverine has a habitat of arctic/subarctic.,1,1,0,0,0,0,0,0,train
"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,1,0,0,0,0,0,0,train
The frog has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The seahorse uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,1,0,0,0,0,0,0,train
There are no specific human uses for gazelle.,1,1,0,0,0,0,0,0,train
The tuna uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The seagull has webbed feet for swimming and can drink both fresh and saltwater.,1,1,0,0,0,0,0,0,train
The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,1,0,0,0,0,0,0,train
The zebra is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for gazelle include pets, research, conservation.",0,1,0,0,0,0,0,0,train
The walrus uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The peacock has a diet of herbivore.,0,1,0,0,0,0,0,0,train
"Human uses for parrot include pets, research, conservation.",1,1,0,0,0,0,0,0,train
"The beaver has antlers that are shed and regrown annually, and is a good swimmer.",0,1,0,0,0,0,0,0,train
The zebra uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The rabbit is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for parrot include tourism, zoos.",0,1,0,0,0,0,0,0,train
The ostrich is the largest and fastest-running bird and has two-toed feet.,1,1,0,0,0,0,0,0,train
"Human uses for platypus include research, conservation.",1,1,0,0,0,0,0,0,train
The bison is the heaviest land animal in north america and forms large herds for protection.,1,1,0,0,0,0,0,0,train
The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,1,0,0,0,0,0,0,train
There are no specific human uses for aardvark.,1,1,0,0,0,0,0,0,train
"Human uses for lobster include food, research.",1,1,0,0,0,0,0,0,train
The camel has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The zebra has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The beaver has a habitat of freshwater.,1,1,0,0,0,0,0,0,train
The elephant has distinctive orange and black stripes and is an apex predator.,0,1,0,0,0,0,0,0,train
The dog has a diet of carnivore.,0,1,0,0,0,0,0,0,train
The cheetah has a diet of varies.,0,1,0,0,0,0,0,0,train
The tuna has a habitat of marine.,1,1,0,0,0,0,0,0,train
The dog uses walking for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for vulture.,1,1,0,0,0,0,0,0,train
"Human uses for manta ray include pets, meat, fur.",0,1,0,0,0,0,0,0,train
The goldfish has a habitat of farmland/domestic.,0,1,0,0,0,0,0,0,train
The chimpanzee uses walking for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for snake.,0,1,0,0,0,0,0,0,train
The pigeon has a habitat of urban/old-world habitats.,1,1,0,0,0,0,0,0,train
The goldfish uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
"Human uses for goat include pets, research, pest control.",0,1,0,0,0,0,0,0,train
The sea turtle has a habitat of polar.,0,1,0,0,0,0,0,0,train
The manta ray has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The armadillo has a habitat of various.,1,1,0,0,0,0,0,0,train
The ostrich has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The narwhal uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The bee has a diet of nectar.,1,1,0,0,0,0,0,0,train
Human uses for chicken include food.,0,1,0,0,0,0,0,0,train
"Human uses for alpaca include wool, meat, pets.",1,1,0,0,0,0,0,0,train
The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,1,1,0,0,0,0,0,0,train
The kangaroo has the atomic number of crustacean.,0,1,0,0,0,0,0,0,train
The parrot uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The cow has a diet of  carnivore.,0,1,0,0,0,0,0,0,train
The camel has the atomic number of amphibian.,0,1,0,0,0,0,0,0,train
The cow has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The seahorse has a habitat of mountain.,0,1,0,0,0,0,0,0,train
The gorilla uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The swan is the largest primate and exhibits complex social behavior.,0,1,0,0,0,0,0,0,train
"Human uses for axolotl include pets, research, conservation.",1,1,0,0,0,0,0,0,train
The octopus has a habitat of marine.,1,1,0,0,0,0,0,0,train
"The llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,1,0,0,0,0,0,0,train
The penguin is a bird.,1,1,0,0,0,0,0,0,train
The cassowary uses running for locomotion.,1,1,0,0,0,0,0,0,train
The seahorse is a fish.,1,1,0,0,0,0,0,0,train
"Human uses for giraffe include tourism, zoos.",1,1,0,0,0,0,0,0,train
The mongoose has a habitat of various.,1,1,0,0,0,0,0,0,train
The hyena has a habitat of freshwater.,0,1,0,0,0,0,0,0,train
The chimpanzee has a strong sense of smell and is known for its loyalty to humans.,0,1,0,0,0,0,0,0,train
The slug has a habitat of savanna.,0,1,0,0,0,0,0,0,train
The bat has a habitat of grassland.,0,1,0,0,0,0,0,0,train
The tiger has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The chicken is a bird.,1,1,0,0,0,0,0,0,train
The hyena uses flying for locomotion.,0,1,0,0,0,0,0,0,train
The tuna is the heaviest land animal in north america and forms large herds for protection.,0,1,0,0,0,0,0,0,train
The parrot has a habitat of forest.,1,1,0,0,0,0,0,0,train
"The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,1,0,0,0,0,0,0,train
There are no specific human uses for koala.,0,1,0,0,0,0,0,0,train
Human uses for polar bear include food.,0,1,0,0,0,0,0,0,train
The swan has a habitat of polar.,0,1,0,0,0,0,0,0,train
The cheetah has a habitat of grassland.,1,1,0,0,0,0,0,0,train
The aardvark has a diet of omnivore.,0,1,0,0,0,0,0,0,train
The tuna has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
"The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,1,0,0,0,0,0,0,train
The horse has a habitat of polar.,0,1,0,0,0,0,0,0,train
The elephant has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The flamingo uses wading for locomotion.,1,1,0,0,0,0,0,0,train
The vulture has a habitat of various.,1,1,0,0,0,0,0,0,train
The seahorse has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The peacock is a bird.,1,1,0,0,0,0,0,0,train
The rabbit has a habitat of freshwater.,0,1,0,0,0,0,0,0,train
The porcupine has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"Human uses for goldfish include work, tourism, conservation.",0,1,0,0,0,0,0,0,train
The walrus has the atomic number of mollusk.,0,1,0,0,0,0,0,0,train
The hummingbird has a habitat of grassland.,0,1,0,0,0,0,0,0,train
There are no specific human uses for elephant.,0,1,0,0,0,0,0,0,train
The flamingo has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The cow is a mammal.,1,1,0,0,0,0,0,0,train
The flamingo is a bird.,1,1,0,0,0,0,0,0,train
The dolphin has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The sparrow has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
"Human uses for hummingbird include transportation, meat, milk, wool.",0,1,0,0,0,0,0,0,train
The kangaroo has a diet of carnivore.,0,1,0,0,0,0,0,0,train
The shark has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The tortoise has a habitat of marine.,0,1,0,0,0,0,0,0,train
The polar bear is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for tapir include tourism, zoos, meat, feathers.",0,1,0,0,0,0,0,0,train
The chimpanzee uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
The cow uses flying for locomotion.,0,1,0,0,0,0,0,0,train
The aardvark is a mammal.,1,1,0,0,0,0,0,0,train
The tortoise has a habitat of terrestrial.,1,1,0,0,0,0,0,0,train
"Human uses for sea turtle include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The alpaca has a habitat of various.,0,1,0,0,0,0,0,0,train
The alpaca has a habitat of mountain.,1,1,0,0,0,0,0,0,train
The cassowary has a diet of carnivore.,0,1,0,0,0,0,0,0,train
"Human uses for walrus include research, conservation.",1,1,0,0,0,0,0,0,train
The lion has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The crocodile uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,train
The kangaroo uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The tarantula uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The penguin is flightless and has adapted flippers for swimming.,1,1,0,0,0,0,0,0,train
The hippopotamus uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The rabbit has the atomic number of bird.,0,1,0,0,0,0,0,0,train
The seahorse has a habitat of marine.,1,1,0,0,0,0,0,0,train
There are no specific human uses for moose.,1,1,0,0,0,0,0,0,train
"Human uses for lion include conservation, research, zoos.",1,1,0,0,0,0,0,0,train
The horse uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
"The dolphin has a hard, bony armor for protection and can curl into a ball to defend itself.",0,1,0,0,0,0,0,0,train
The sparrow has a diet of herbivore.,0,1,0,0,0,0,0,0,train
"Human uses for slug include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The tarantula is a arachnid.,1,1,0,0,0,0,0,0,train
The skunk has a habitat of various.,1,1,0,0,0,0,0,0,train
The rat has the atomic number of bird.,0,1,0,0,0,0,0,0,train
"Human uses for sea turtle include research, conservation.",1,1,0,0,0,0,0,0,train
The gecko has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The cow has a habitat of forest/urban.,0,1,0,0,0,0,0,0,train
The slug is a mollusk.,1,1,0,0,0,0,0,0,train
The rat uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The hippopotamus has the atomic number of reptile.,0,1,0,0,0,0,0,0,train
The porcupine is a mammal.,1,1,0,0,0,0,0,0,train
"The chicken is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",0,1,0,0,0,0,0,0,train
The sea turtle has the atomic number of fish.,0,1,0,0,0,0,0,0,train
"The hedgehog has a coat of sharp spines for protection, which it raises when threatened.",1,1,0,0,0,0,0,0,train
"The giant anteater primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,1,0,0,0,0,0,0,train
The parrot is a bird.,1,1,0,0,0,0,0,0,train
The crocodile is flightless and has adapted flippers for swimming.,0,1,0,0,0,0,0,0,train
The hyena uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The chicken has a habitat of farmland/urban.,1,1,0,0,0,0,0,0,train
The sparrow uses knuckle-walking for locomotion.,0,1,0,0,0,0,0,0,train
"Human uses for sparrow include conservation, meat, leather.",0,1,0,0,0,0,0,0,train
The shark has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The camel has a diet of varies.,0,1,0,0,0,0,0,0,train
The swan has a habitat of freshwater.,1,1,0,0,0,0,0,0,train
There are no specific human uses for deer.,1,1,0,0,0,0,0,0,train
The hippopotamus has a habitat of domestic/urban.,0,1,0,0,0,0,0,0,train
"Human uses for dolphin include research, entertainment, therapy.",1,1,0,0,0,0,0,0,train
The snake has a habitat of forest/grassland.,0,1,0,0,0,0,0,0,train
The pigeon uses walking/swimming for locomotion.,0,1,0,0,0,0,0,0,train
The sparrow uses flying for locomotion.,1,1,0,0,0,0,0,0,train
The salmon has a habitat of freshwater/marine.,1,1,0,0,0,0,0,0,train
The walrus has a diet of insectivore.,0,1,0,0,0,0,0,0,train
The aardvark has a habitat of urban/wild.,0,1,0,0,0,0,0,0,train
"The cat is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,1,0,0,0,0,0,0,train
There are no specific human uses for camel.,0,1,0,0,0,0,0,0,train
The whale uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The penguin uses walking/swimming for locomotion.,1,1,0,0,0,0,0,0,train
The parrot has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
The mongoose uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The hedgehog has a diet of herbivore.,0,1,0,0,0,0,0,0,train
The lion has a habitat of domestic/urban.,0,1,0,0,0,0,0,0,train
The cow has the atomic number of bird.,0,1,0,0,0,0,0,0,train
"The lobster has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",0,1,0,0,0,0,0,0,train
The seagull has a habitat of coastal.,1,1,0,0,0,0,0,0,train
The aardvark has a habitat of savanna.,1,1,0,0,0,0,0,0,train
The whale has a diet of carnivore/herbivore.,1,1,0,0,0,0,0,0,train
"Human uses for hamster include tourism, zoos.",0,1,0,0,0,0,0,0,train
The jellyfish has a habitat of marine.,1,1,0,0,0,0,0,0,train
There are no specific human uses for hyena.,1,1,0,0,0,0,0,0,train
The sea turtle uses walking for locomotion.,0,1,0,0,0,0,0,0,train
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1,1,0,0,0,0,0,0,train
The tuna has a habitat of urban/wild.,0,1,0,0,0,0,0,0,train
"The sparrow has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",0,1,0,0,0,0,0,0,train
The skunk is a mammal.,1,1,0,0,0,0,0,0,train
The platypus has a habitat of various.,0,1,0,0,0,0,0,0,train
"Human uses for chicken include meat, eggs.",1,1,0,0,0,0,0,0,train
The cat isn't very social but is adored by many humans and has retractable claws for climbing and hunting.,1,1,0,0,0,0,0,0,train
"The rhinoceros has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0,1,0,0,0,0,0,0,train
"The camel is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,1,0,0,0,0,0,0,train
"Human uses for walrus include pets, research.",0,1,0,0,0,0,0,0,train
The porcupine has a diet of carnivore.,0,1,0,0,0,0,0,0,train
"The bee is a social insect that lives in colonies with a queen, workers, and drones.",1,1,0,0,0,0,0,0,train
The tortoise has a diet of  carnivore.,0,1,0,0,0,0,0,0,train
"Human uses for skunk include research, conservation.",0,1,0,0,0,0,0,0,train
"Human uses for salmon include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The hummingbird is the smallest bird species and can hover in mid-air by rapidly flapping its wings.,1,1,0,0,0,0,0,0,train
"Human uses for armadillo include tourism, research.",0,1,0,0,0,0,0,0,train
The jellyfish has a diet of carnivore.,1,1,0,0,0,0,0,0,train
The giant anteater has a diet of insectivore.,1,1,0,0,0,0,0,0,train
"Human uses for elephant include work, tourism, conservation.",1,1,0,0,0,0,0,0,train
The goat uses flying for locomotion.,0,1,0,0,0,0,0,0,train
The octopus has a diet of insectivore.,0,1,0,0,0,0,0,0,train
The deer has a habitat of forest/urban.,0,1,0,0,0,0,0,0,train
"The parrot is known for its bright colors, intelligence, and ability to mimic human speech.",1,1,0,0,0,0,0,0,train
"Human uses for flamingo include tourism, research, zoos.",1,1,0,0,0,0,0,0,train
"The rat feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",0,1,0,0,0,0,0,0,train
The raccoon has a habitat of forest/urban.,1,1,0,0,0,0,0,0,train
The koala is a mammal.,1,1,0,0,0,0,0,0,train
The wolverine uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The porcupine is the largest primate and exhibits complex social behavior.,0,1,0,0,0,0,0,0,train
There are no specific human uses for hippopotamus.,1,1,0,0,0,0,0,0,train
The sea turtle has a habitat of marine.,1,1,0,0,0,0,0,0,train
The lion has the atomic number of bird.,0,1,0,0,0,0,0,0,train
The salmon uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The bat is a mammal.,1,1,0,0,0,0,0,0,train
The dolphin has a habitat of urban/old-world habitats.,0,1,0,0,0,0,0,0,train
The llama has thick wool for insulation and can spit when threatened or annoyed.,1,1,0,0,0,0,0,0,train
The peacock uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The tortoise has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The rhinoceros has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"The sea turtle has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",0,1,0,0,0,0,0,0,train
There are no specific human uses for mongoose.,1,1,0,0,0,0,0,0,train
The frog has a habitat of freshwater.,1,1,0,0,0,0,0,0,train
The iguana has a habitat of various.,1,1,0,0,0,0,0,0,train
The bat has a diet of insectivore.,0,1,0,0,0,0,0,0,train
The pigeon has a diet of herbivore.,1,1,0,0,0,0,0,0,train
The walrus has a habitat of forest/urban.,0,1,0,0,0,0,0,0,train
"Human uses for swan include pets, research, conservation.",0,1,0,0,0,0,0,0,train
The kangaroo uses hopping for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for dog.,0,1,0,0,0,0,0,0,train
The beaver is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for polar bear include conservation, research.",1,1,0,0,0,0,0,0,train
The cat has a diet of omnivore.,0,1,0,0,0,0,0,0,train
The gecko is a reptile.,1,1,0,0,0,0,0,0,train
"The hippopotamus is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,1,0,0,0,0,0,0,train
The cheetah uses walking for locomotion.,0,1,0,0,0,0,0,0,train
There are no specific human uses for cow.,0,1,0,0,0,0,0,0,train
The octopus has a habitat of various.,0,1,0,0,0,0,0,0,train
"The axolotl primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",0,1,0,0,0,0,0,0,train
The seahorse uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The tiger uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
"The armadillo has a hard, bony armor for protection and can curl into a ball to defend itself.",1,1,0,0,0,0,0,0,train
The pigeon has thick white fur for insulation and black skin to absorb heat.,0,1,0,0,0,0,0,0,train
The bison has a habitat of various.,0,1,0,0,0,0,0,0,train
"The skunk has a pouch for carrying and nursing its young, called joeys.",0,1,0,0,0,0,0,0,train
The goat has a habitat of various.,0,1,0,0,0,0,0,0,train
The peacock has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
"The giraffe has an extremely long neck, which enables it to reach leaves on tall trees.",1,1,0,0,0,0,0,0,train
"Human uses for kangaroo include research, conservation.",0,1,0,0,0,0,0,0,train
The otter has the atomic number of fish.,0,1,0,0,0,0,0,0,train
There are no specific human uses for horse.,0,1,0,0,0,0,0,0,train
The giraffe uses walking for locomotion.,1,1,0,0,0,0,0,0,train
The hyena has the atomic number of bird.,0,1,0,0,0,0,0,0,train
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",1,1,0,0,0,0,0,0,train
The wolverine has a diet of herbivore.,0,1,0,0,0,0,0,0,train
There are no specific human uses for skunk.,1,1,0,0,0,0,0,0,train
The chimpanzee is a mammal.,1,1,0,0,0,0,0,0,train
The seagull uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The otter has a habitat of forest.,0,1,0,0,0,0,0,0,train
"The tiger is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",0,1,0,0,0,0,0,0,train
The dolphin uses swimming for locomotion.,1,1,0,0,0,0,0,0,train
The tarantula has a habitat of urban/old-world habitats.,0,1,0,0,0,0,0,0,train
The bison uses walking/swimming for locomotion.,0,1,0,0,0,0,0,0,train
The hyena is a mammal.,1,1,0,0,0,0,0,0,train
"The lion has antlers that are shed and regrown annually, and is a good swimmer.",0,1,0,0,0,0,0,0,train
"Human uses for swan include tourism, ornamental displays.",1,1,0,0,0,0,0,0,train
The panda has a habitat of mountain bamboo forest.,1,1,0,0,0,0,0,0,train
The porcupine has a habitat of marine.,0,1,0,0,0,0,0,0,train
The whale has a habitat of various.,0,1,0,0,0,0,0,0,train
"Human uses for moose include research, conservation.",0,1,0,0,0,0,0,0,train
The ostrich is a bird.,1,1,0,0,0,0,0,0,train
The horse has strong hind legs for powerful jumps and kicks.,1,1,0,0,0,0,0,0,train
The deer has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"Human uses for chimpanzee include tourism, zoos, meat.",0,1,0,0,0,0,0,0,train
The bat has a habitat of various.,1,1,0,0,0,0,0,0,train
The snake is a reptile.,1,1,0,0,0,0,0,0,train
The shark has the atomic number of mammal.,0,1,0,0,0,0,0,0,train
The crocodile has a diet of  carnivore.,1,1,0,0,0,0,0,0,train
"The cassowary has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0,1,0,0,0,0,0,0,train
"The horse has a hard, bony armor for protection and can curl into a ball to defend itself.",0,1,0,0,0,0,0,0,train
"The swan has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",1,1,0,0,0,0,0,0,train
The iguana is a reptile.,1,1,0,0,0,0,0,0,train
The hummingbird uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The giant anteater has a habitat of grassland/forest.,1,1,0,0,0,0,0,0,train
The beaver uses walking for locomotion.,0,1,0,0,0,0,0,0,train
The hyena has a diet of carnivore.,1,1,0,0,0,0,0,0,train
"The hyena has distinctive black and white stripes, which may help deter flies and provide camouflage.",0,1,0,0,0,0,0,0,train
The swan has the atomic number of reptile.,0,1,0,0,0,0,0,0,train
"Human uses for iguana include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The bee is a insect.,1,1,0,0,0,0,0,0,train
Human uses for tuna include food.,1,1,0,0,0,0,0,0,train
The leopard has a habitat of marine.,0,1,0,0,0,0,0,0,train
The peacock has a habitat of forest/grassland.,1,1,0,0,0,0,0,0,train
The lobster has a habitat of various.,0,1,0,0,0,0,0,0,train
The elephant has a habitat of grassland.,0,1,0,0,0,0,0,0,train
The tuna is a fish.,1,1,0,0,0,0,0,0,train
The polar bear has a diet of carnivore.,1,1,0,0,0,0,0,0,train
"The walrus has long tusks for fighting and digging, and thick blubber for insulation in cold water.",1,1,0,0,0,0,0,0,train
"Human uses for llama include pets, research, pest control.",0,1,0,0,0,0,0,0,train
"Human uses for chimpanzee include research, conservation, entertainment.",1,1,0,0,0,0,0,0,train
Human uses for jellyfish include pest control.,0,1,0,0,0,0,0,0,train
The giant anteater uses swimming for locomotion.,0,1,0,0,0,0,0,0,train
The wolverine is a mammal.,1,1,0,0,0,0,0,0,train
"Human uses for frog include conservation, research, zoos.",0,1,0,0,0,0,0,0,train
The alpaca has a diet of omnivore.,0,1,0,0,0,0,0,0,train
"The gazelle has slender legs for fast running and can perform high leaps, known as pronking.",1,1,0,0,0,0,0,0,train
"The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",1,1,0,0,0,0,0,0,train
"Human uses for narwhal include research, conservation.",1,1,0,0,0,0,0,0,train
The cassowary has a habitat of marine.,0,1,0,0,0,0,0,0,train
"Human uses for peacock include pets, ornamental displays.",1,1,0,0,0,0,0,0,train
The zebra has the atomic number of fish.,0,1,0,0,0,0,0,0,train
The shark has a habitat of marine.,1,1,0,0,0,0,0,0,train
"Human uses for alpaca include pets, meat, fur.",0,1,0,0,0,0,0,0,train
"Human uses for ostrich include tourism, zoos, meat, feathers.",1,1,0,0,0,0,0,0,train
The hedgehog has a habitat of various.,1,1,0,0,0,0,0,0,train
The camel uses walking for locomotion.,1,1,0,0,0,0,0,0,train
There are no specific human uses for whale.,0,1,0,0,0,0,0,0,train
The ostrich is nocturnal and has large cheek pouches to store and transport food.,0,1,0,0,0,0,0,0,train
"The lobster has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",1,1,0,0,0,0,0,0,train
The pigeon has a strong homing instinct and has been used for communication and racing.,1,1,0,0,0,0,0,0,train
The giraffe has a diet of carnivore.,0,1,0,0,0,0,0,0,train
The polar bear has the atomic number of fish.,0,1,0,0,0,0,0,0,train
The gorilla has a diet of herbivore.,1,1,0,0,0,0,0,0,train
"The flamingo has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,1,0,0,0,0,0,0,train
"The bee has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",0,1,0,0,0,0,0,0,train
The octopus uses hopping for locomotion.,0,1,0,0,0,0,0,0,train
"Human uses for hamster include pets, research.",1,1,0,0,0,0,0,0,train
"The moose has thick, luxurious wool and is a smaller relative of the llama.",0,1,0,0,0,0,0,0,train
There are no specific human uses for ostrich.,0,1,0,0,0,0,0,0,train
"The peacock has an extremely long neck, which enables it to reach leaves on tall trees.",0,1,0,0,0,0,0,0,train
The axolotl uses swimming/flying for locomotion.,0,1,0,0,0,0,0,0,train
The whale has the atomic number of fish.,0,1,0,0,0,0,0,0,train
